OBJECTID,SHAPESTArea,SHAPESTLength,NrRNET,Denominacao,EntProprietaria,EntExploradora,TipologiaET,Categoria,NrUnidAloj,NrCamasFixas,NrQuartos,NrSuites,NrApart,NrMoradias,NrCampistas,IntegraCT,DesignacaoCT,CampoGolfe,SalasReunioes,CapacSalasReunioes,SPA,OutrosEquip,AnoAberturaEmpreendimento,ClassificacaoTdP,DataUltClassifF,ValidadeClassif,ParecerPostClassif,DataPostClassif,AtribuicaoUT,RecTurNatureza,CertifAmbiental,DesigCertifAmbiental,CertifQualServ,DesigCertifQualServ,OutrasCertifPremios,DesigOutrasCertif,ImovelClassificado,Website,Email,Endereco,CodigoPostal,LocalidadeCP,LatLong,FiabilidadeGeo,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,NUTSI,ERT,PNCT,RNAP,RedeNatura2000Global,RedeNatura2000Sitios,RedeNatura2000ZPE,FaixaCosteira,ZonaCosteira,ZonaTerrestreProtecao,LimitePROT,LimitePOC,LimiteAlbufeiras,UNESCO,Geoparques,Biosfera,RedeAldeias,FreguesiasCosteiras,NUTSIIICosteiras,DataAtualiza,SeloCleanSafe,RNET
9235477,1902.25244140625,198.472567438998,10530,Bonjardim 560,ROI 360 Porto - Bonjardim 560,ROI 360 Porto - Bonjardim 560,ApartamentosTuristicos,5,28,56,0,0,28,0,0,NaoIntegra,,Não,Não,0,Sim,"Piscina Exterior, Restaurante e bar",2022,Sim,2023/06/06 00:00:00+00,2028/06/06 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.bonjardim560.com,info@bonjardim560.com,Rua do Bonjardim 560,4000-118,PORTO,"41,1513308606624 ; -8,60807531546764",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não abrangido,Norte,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2023/06/09 00:00:00+00,Não,10530
9235504,2115.08984375,186.294563126656,10592,Turim Oporto Hotel,Palpite Prestigio S.A.,IMOBIMACUS SOC ADMINISTRADORA DE IMOVEIS SA,Hotel,4,121,157,100,21,0,0,0,NaoIntegra,,Não,Sim,40,Não,,2022, ,,, ,,Não,Não,Não,,Não,,Não,,Não,https://turim-hotels.com/,ricardomartins@turimhoteis.com,Praça da Trindade 120,4000-539,PORTO,,Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Sim,Sim,2022/12/16 00:00:00+00,Não,10592
9235516,1193.896484375,150.942740920145,10617,Hotel Jaguar - Oporto MetroMarquês,"HOTEL JAGUAR - OPORTO METROMARQUÊS\, LDA","HOTEL JAGUAR - OPORTO METROMARQUÊS\, LDA",Hotel,4,66,132,65,1,0,0,0,NaoIntegra,,Não,Não,0,Não,Restaurante,2023,Nao,,,Não,,Sim,Sim,Não,,Não,,Não,,Não,,geral@hoteljaguar.pt,"Rua da Constituição, 211",4200-198,PORTO,"41,1612683491663 ; -8,60089747687394",Fiavel,Bonfim,Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/12/16 00:00:00+00,Não,10617
9235535,991.89208984375,136.175712088686,10656,Axis Porto Club,FUTEBOL CLUBE DO PORTO,TURILIMA EMPREENDIMENTOS TURISTICOS DO VALE DO LI,Hotel,4,53,106,39,14,0,0,0,NaoIntegra,,Não,Não,0,Não,,2022,Nao,,,Não,,Não,Não,Não,,Não,,Não,,Não,WWW.AXISHOTEIS.COM,silviaqueiros@axishoteis.com,Av. dos Aliados nº 325,4000-067,PORTO,"41,1499528975127 ; -8,61159112534707",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2023/01/10 00:00:00+00,Não,10656
9235546,7390.150390625,462.078532783029,10673,Vilar Oporto Hotel,Seminário Menor Nossa Senhora do Rosário de Vilar,"VILAR OPORTO HOTEL\, LDA",Hotel,3,117,234,117,0,0,0,0,NaoIntegra,,Não,Sim,225,Não,,2023,Sim,2023/03/26 00:00:00+00,2028/03/26 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.casadevilar.pt,info@casadevilar.pt,"Rua Arcediago Van Zeller, 50",4050-621,PORTO,"41,149875818029 ; -8,62903835323255",Fiavel,União das freguesias de Lordelo do Ouro e Massarelos,Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Zona Terrestre de Proteção (margem + 500m),Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2023/03/27 00:00:00+00,Não,10673
9235571,5.53662109375,8.35213227227162,10738,OCA RIBEIRA DO PORTO AT,"TOMAZ DO DOURO, LDA","Circuito da Razão\, Unipessoal\, Lda",ApartamentosTuristicos,3,17,34,0,0,17,0,0,NaoIntegra,,Não,Não,0,Não,,2023, ,,, ,,Não,Não,Não,,Não,,Não,,Sim,http://www.ocahotels.pt/,controller@ocahotels.pt,Rua São João nº17,4050-553,PORTO,"41.1411803 ; -8.6134073",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Zona Terrestre de Proteção (margem + 500m),Norte,Não Abrangido,Não Abrangido,"Centro Histórico do Porto, Ponte Luiz I e Mosteiro da Serra do Pilar",Não Abrangido,Não Abrangido,Não Abrangido,Sim,Sim,2023/02/10 00:00:00+00,Não,10738
9235615,546.369140625,149.600869842639,10852,d'Alma Boutique Hotel,Noor Properties Unipessoal Lda,Noor Properties Unipessoal Lda,Hotel,1,15,32,8,0,7,0,0,NaoIntegra,,Não,Não,0,Não,-,2023,Sim,2023/06/07 00:00:00+00,2028/06/07 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,,acosta@uimake.pt,"Rua do Almada, 101",4050-036,PORTO,"41.14695 ; -8.61225",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não abrangido,Norte,Não abrangido,Não abrangido,"Centro Histórico do Porto, Ponte Luiz I e Mosteiro da Serra do Pilar",Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2023/06/09 00:00:00+00,Não,10852
9235620,1536.60107421875,288.26044996731,1086,Hotel Estoril Porto,Joaquim dos Santos,MANUEL RESENDE E PEREIRA LDA,Hotel,1,16,32,14,2,0,0,0,NaoIntegra,,Não,Não,0,Não,"Sala de Pequenos almoços; Esplanada; Jardim",1986,Sim,2015/08/12 00:00:00+00,2020/08/12 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.hotelestorilporto.com,mail@hotelestorilporto.com,"Rua de Cedofeita, 193",4050-179,Porto,"41,1509893787214 ; -8,6173116927428",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2023/05/23 00:00:00+00,Não,1086
9235621,1431.0556640625,164.024831320712,10861,"Arts Hotel Porto, Tapestry Collection by Hilton","MERCAN PROPERTIES\, S.A.","MERCAN PROPERTIES\, S.A.",Hotel,4,54,108,54,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,2023, ,,, ,,Não,Não,Não,,Não,,Não,,Sim,https://www.hiltonhotels.com/pt_BR/portugal/arts-h,gm@artshotelporto.com,"Avenida de Rodrigues de Freitas, 340",4000-324,PORTO,,Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Zona Terrestre de Proteção (margem + 500m),Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2023/04/26 00:00:00+00,Não,10861
9235623,1481.6162109375,187.237468265846,1087,Hotel Ibis Porto Centro S. Bento,PORTIS HOTEIS PORTUGUESES SA,PORTIS HOTEIS PORTUGUESES SA,Hotel,2,77,149,77,0,0,0,0,NaoIntegra,,Não,Não,0,Não,-,2010,Sim,2020/03/17 00:00:00+00,2025/03/17 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.ibishotel.com,h3344-gm@accor.com,"Rua da Alegria, 29 - A",4000-027,Porto,"41,1470858863655 ; -8,60429238229258",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2020/03/25 14:52:43+00,Sim,1087
9235628,40578.3950195312,921.285906268042,10889,Renaissance Porto Lapa Hotel,"MERCAN PROPERTIES\, S.A.","MERCAN PROPERTIES\, S.A.",Hotel,4,163,326,159,4,0,0,0,NaoIntegra,,Não,Sim,600,Não,Piscina interior,2023, ,,, ,,Não,Não,Sim,Leed,Não,,Não,,Não,https://www.marriott.com/en-us/hotels/opobr-renais,gm@renaissanceportolapa.com,"Rua de Cervantes, 169",4050-289,PORTO,,Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2023/05/10 00:00:00+00,Não,10889
9235632,436.609375,124.299995914753,1090,The Rex Hotel,"LUIGI-INVEST, UNIPESSOAL LDA","Opiniões Galácticas, Lda",Hotel,2,20,40,19,1,0,0,0,NaoIntegra,,Não,Não,0,Não,Bar,1982,Sim,2015/09/16 00:00:00+00,2020/09/16 00:00:00+00,Não,,Não,Não,Não,,Não,,Sim,Safe & Clean,Não,www.therexhotel.pt,manager@therexhotel.pt,"Praça da Républica, 117",4050-497,Porto,"41,1550433495244 ; -8,61361129919177",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,,Não,1090
9235655,1997.91015625,209.360307639158,10957,The Editory Garden Hotel,"Pcinvest - Sicafi Especial, S.A.","The Editory Garden - Exploração Hoteleira, S.A",Hotel,4,48,96,47,1,0,0,0,NaoIntegra,,Não,Não,0,Não,,2023, ,,, ,,Não,Não,Não,,Não,,Não,,Não,https://www.editoryhotels.com/the-editory-garden/,recepcao.garden@editoryhotels.pt,Rua da Firmeza nº 39,4000-227,PORTO,"41.1508 ; -8.60096",Fiavel,Bonfim,Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2023/05/10 00:00:00+00,Não,10957
9235657,2257.009765625,283.110096324834,10963,Hotel das Virtudes,"I.M.E. - IM?VEIS E EMPRENDIMENTOS HOTELEIROS, S.A","I.M.E. - IM?VEIS E EMPRENDIMENTOS HOTELEIROS, S.A",Hotel,4,71,166,69,2,0,0,0,NaoIntegra,,Não,Sim,16,Não,,2023,Nao,,,Não,,Não,Não,Não,,Não,,Não,,Não,www.hoteldasvirtudes.pt,info@hoteldasvirtudes.pt,Rua de São Pedro de Miragaia nº60,4050-565,PORTO,"41,1435772785436 ; -8,61978241097614",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Zona Terrestre de Proteção (margem + 500m),Norte,Não Abrangido,Não Abrangido,"Centro Histórico do Porto, Ponte Luiz I e Mosteiro da Serra do Pilar",Não Abrangido,Não Abrangido,Não Abrangido,Sim,Sim,2023/05/10 00:00:00+00,Não,10963
9235668,438.17041015625,88.5358830200323,1100,WOT Porto,Manuel Duarte Pereira Cabral,"HUB\, S.A.",Hotel,3,38,65,38,0,0,0,0,NaoIntegra,,Não,Não,0,Não,"Bar; sala de pequenos almoços",1973,Sim,2015/07/22 00:00:00+00,2020/07/22 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.wotelshub.com,porto@wotelshub.com,"Rua da Conceição,80",4050-214,Porto,"41,1500038197031 ; -8,61428889046023",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não abrangido,Norte,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2023/01/12 00:00:00+00,Não,1100
