,X,Y,OBJECTID,NrRNAL,Denominacao,DataRegisto,DataAberturaPublico,Modalidade,NrUtentes,Email,Endereco,CodigoPostal,Freguesia,Concelho,Distrito,lat,lon
248,-8.62131500028375,41.1532056043567,160991081,6362,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 4º direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
249,-8.62131500028375,41.1532056043567,160991082,6369,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,2,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 3º cen/esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
250,-8.62131500028375,41.1532056043567,160991083,6371,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 5º direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
252,-8.60671035209131,41.1492041403325,160991085,6378,BY Bolhão - Apartments,2014-07-29,2014-07-29,Apartamento,0,jmgreina@outlook.pt,Rua Alexandre Braga 76 3º frente Fração F,4000-049,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.149207,-8.606596
253,-8.62131500028375,41.1532056043567,160991086,6385,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 1º direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
260,-8.61152688148951,41.1406713187221,160991093,6419,Muralha da Barca Apartamentos,2014-08-22,2014-08-22,Apartamento,7,dulcemadureira@hotmail.com,"Rua Rua Cima do Muro 21 6.º Fração ""F""",4050-199,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.140681,-8.611582
261,-8.62131500028375,41.1532056043567,160991094,6421,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 1º  Cen/esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
262,-8.62131500028375,41.1532056043567,160991095,6428,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 6º direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
263,-8.62131500028375,41.1532056043567,160991096,6430,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 4º direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
265,-8.62131500028375,41.1532056043567,160991098,6446,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 6º esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
266,-8.62131500028375,41.1532056043567,160991099,6453,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 6º cent/esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
267,-8.62131500028375,41.1532056043567,160991100,6455,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 5º esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
269,-8.61379257456986,41.1430156950131,160991102,6462,Mouzinho 134 - Castanho,2014-10-20,2014-10-20,Apartamento,0,mouzinho134@gmail.com,Rua Mouzinho da Silveira 134 2º ET,4050-416,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.142952,-8.613718
271,-8.61463047635452,41.1429137330858,160991104,6471,Wine apartments 3,2015-02-03,2015-02-06,Apartamento,4,carlosmanuelbastos@gmail.com,Largo Largo de S. Domingos 77 2º Traseiras,4050-545,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.143231,-8.614527
272,-8.61379257456986,41.1430156950131,160991105,6478,Mouzinho 134 - Rosa,2014-10-20,2014-10-20,Apartamento,0,mouzinho134@gmail.com,Rua Mouzinho da Silveira 134 2º DF,4050-416,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.142952,-8.613718
273,-8.62131500028375,41.1532056043567,160991106,6494,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 4º cent/esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
274,-8.62131500028375,41.1532056043567,160991107,6496,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 3º BE,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
275,-8.62131500028375,41.1532056043567,160991108,6505,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 7º direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
276,-8.62131500028375,41.1532056043567,160991109,6510,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 7º esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
284,-8.61225648687509,41.1462309243927,160991117,6553,Almada 15 3ET,2014-10-02,2014-10-02,Apartamento,2,jorge.frias.bulhosa@gmail.com,Rua Almada 15 3.4 Fração N,4050-036,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.146265,-8.612245
288,-8.62131500028375,41.1532056043567,160991121,6603,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 6º cen/esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
466,-8.61217878978953,41.1456437361974,160991299,956,bnapartments Loftpuzzle,2014-12-17,2014-12-17,Apartamento,2,staff@bnapartments.com,Largo Lóios 15 1.1,4050-338,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.145661,-8.612142
500,-8.61225648687509,41.1462309243927,160991333,6159,Almada 15 1DT,2014-07-22,2014-07-22,Apartamento,2,jorge.frias.bulhosa@gmail.com,Rua Almada 15 1.3 Fração E,4050-036,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.146265,-8.612245
501,-8.61225648687509,41.1462309243927,160991334,6161,Almada 15 1DF,2014-07-22,2014-07-22,Apartamento,2,jorge.frias.bulhosa@gmail.com,Rua Almada 15 1.2 Fração D,4050-036,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.146265,-8.612245
506,-8.61388024565002,41.1505635722251,160991339,6184,Casa do Pinheiro-Self-Catering Apartments,2011-10-26,2018-03-29,Apartamento,4,ireneandpedro@gmail.com,Rua Pinheiro 71,4050-484,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.150512,-8.613952
509,-8.61487612965212,41.1475935065866,160991342,6202,Vivacity Porto,2012-10-24,2012-10-24,EstabelecimentoHospedagem,20,info@vivacityporto.com,Praça Guilherme Gomes Fernandes 35,4050-293,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.147612,-8.614952
510,-8.61508760744305,41.1473648881571,160991343,6209,Oporto Downtown Experience,2012-11-15,2015-11-16,Apartamento,2,rotasecorrentes@gmail.com,Rua Rua Sá Noronha 2 3º Esq,4050-526,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.147376,-8.615042
511,-8.60224803559613,41.1564270563809,160991344,6218,Bela Star - Pensão Residencial,2012-02-08,2012-02-08,EstabelecimentoHospedagem,0,geral@residencialbelastar.com,Rua Alegria 648,4000-037,Bonfim,Porto,Porto,41.156407,-8.602197
521,-8.60682491244285,41.1749814171081,160991354,6261,"Ribeiro, Ribeiro & Ferreira, L.da",2012-05-09,2012-05-09,EstabelecimentoHospedagem,0,esmeralda.pereira.ep@gmail.com,Rua Dionísio dos Santos Silva 212,4200-266,Paranhos,Porto,Porto,41.175833,-8.607635
523,-8.61849086771041,41.1427931044412,160991356,6270,bnapartments Rio,2015-02-03,2015-02-03,Apartamento,2,staff@bnapartments.com,Rua Francisco da Rocha Soares 54 3º Frente,4050-280,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.142787,-8.618484
524,-8.6172461440864,41.1438089369002,160991357,6277,Taipas Apartments,2012-06-22,2012-06-22,Apartamento,4,qi.liu@live.cn,Rua Taipas 95 2º frente,4050-600,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.143822,-8.617267
531,-8.61145484558687,41.1440984633847,160991364,6313,"BENARDI - Sociedade Imobiliária, S.A.",2014-07-17,2014-07-17,Apartamento,0,domingosferreiramartins@gmail.com,Travessa São Sebastião 51 r/c dtº Fração B,4050-569,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144086,-8.611451
532,-8.60671035209131,41.1492041403325,160991365,6320,By Bolhão - Apartments,2014-07-29,2014-07-29,Apartamento,0,jmgreina@outlook.pt,Rua Alexandre Braga 76 1º Tras. Fração C,4000-049,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.149207,-8.606596
539,-8.62131500028375,41.1532056043567,160991372,6363,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 3º frente,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
540,-8.60671035209131,41.1492041403325,160991373,6368,BY Bolhão - Apartments,2014-07-29,2014-07-29,Apartamento,0,jmgreina@outlook.pt,Rua Alexandre Braga 76 2º frente Fração D,4000-049,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.149207,-8.606596
541,-8.62131500028375,41.1532056043567,160991374,6370,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 5º frente,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
543,-8.62131500028375,41.1532056043567,160991376,6379,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 6º cen/dir,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
544,-8.62131500028375,41.1532056043567,160991377,6386,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 7º frente,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
546,-8.62131500028375,41.1532056043567,160991379,6395,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,3,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 2º esquerdo,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
548,-8.62131500028375,41.1532056043567,160991381,6411,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 6º direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
553,-8.62131500028375,41.1532056043567,160991386,6429,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 5º cent/esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
555,-8.62131500028375,41.1532056043567,160991388,6443,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 4º cent/esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
557,-8.61744511014205,41.1443698771943,160991390,6452,Studio + Terrace @ Porto,2014-09-12,2014-09-12,Apartamento,4,rauleoliveira@gmail.com,Rua Doutor Barbosa de Castro 69 3º tras fração F,4050-091,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144458,-8.617535
561,-8.61379257456986,41.1430156950131,160991394,6468,Mouzinho134 - Branco,2014-10-20,2014-10-20,Apartamento,0,mouzinho134@gmail.com,Rua Mouzinho da Silveira 134 3º dt,4050-416,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.142952,-8.613718
564,-8.62131500028375,41.1532056043567,160991397,6486,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 5º frente,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
567,-8.62131500028375,41.1532056043567,160991400,6502,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 7º cent/dir,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
568,-8.63020891268799,41.1474633121047,160991401,6504,PAULA CRISTINA VIEIRA DE SOUSA E CASTRO,2014-10-07,2014-10-07,Moradia,0,paulacc@sapo.pt,Rua Macieirinha 1,4050-341,União das freguesias de Lordelo do Ouro e Massarelos,Porto,Porto,41.14746,-8.630212
569,-8.62131500028375,41.1532056043567,160991402,6513,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 7º BZ,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
570,-8.62131500028375,41.1532056043567,160991403,6518,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 1º  esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
571,-8.62131500028375,41.1532056043567,160991404,6520,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 6º frente,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
578,-8.62131500028375,41.1532056043567,160991411,6561,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 2º cent/direi,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
579,-8.62131500028375,41.1532056043567,160991412,6563,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 2º cent/esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
580,-8.62131500028375,41.1532056043567,160991413,6568,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 4º esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
581,-8.62131500028375,41.1532056043567,160991414,6570,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 6º cent/dir,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
582,-8.62131500028375,41.1532056043567,160991415,6579,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 2º cent/esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
649,-8.61218377813428,41.1462789612097,160991482,342,Casa Almada,2014-12-15,2014-12-15,Apartamento,3,marthaappelt@gmail.com,Rua Almada 18 4.º  Dto.,4050-036,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.146319,-8.612138
764,-8.61217878978953,41.1456437361974,160991597,975,bnapartments Lotfpuzzle,2014-12-17,2014-12-17,Apartamento,4,staff@bnapartments.com,Largo Lóios 15 4.4,4050-338,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.145661,-8.612142
792,-8.62129530292453,41.1514825474116,160991625,6173,Rosario Apartments,2012-10-16,2012-10-16,Apartamento,0,info@castroportugal.pt,Rua Rosário 337 1º,4050-525,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.151487,-8.621314
799,-8.61485618076458,41.1478034983199,160991632,6207,Pensão Duas Nações,2010-12-21,2010-12-31,EstabelecimentoHospedagem,0,duasnacoes@sapo.pt,Praça Guilherme Gomes Fernandes 59,4050-293,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.147823,-8.614931
814,-8.61723617009183,41.1438189123589,160991647,6275,Taipas Apartments,2012-06-22,2012-06-22,Apartamento,2,qi.liu@live.cn,Rua Taipas 97 1º frente,4050-600,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.143843,-8.617247
815,-8.61145652633477,41.1440936346503,160991648,6289,"BENARDI - Sociedade Imobiliária, S.A.",2014-07-17,2014-07-17,Apartamento,0,domingosferreiramartins@gmail.com,Travessa São Sebastião 51 2º E Fração G,4050-569,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144086,-8.611451
819,-8.61145652633477,41.1440936346503,160991652,6305,"BENARDI - Sociedade Imobiliária, S.A.",2014-07-17,2014-07-17,Apartamento,0,domingosferreiramartins@gmail.com,Travessa São Sebastião 51 1º E Fração D,4050-569,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144086,-8.611451
820,-8.61098749975528,41.1437580008829,160991653,6306,"BENARDI - Sociedade Imobiliária, S.A.",2014-07-17,2014-07-17,Apartamento,0,domingosferreiramartins@gmail.com,Travessa São Sebastião 51 r/c F Fração A,4050-569,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144086,-8.611451
831,-8.62131500028375,41.1532056043567,160991664,6358,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,2,geral@goldencrest.pt,Rua Dr. Emilio Peres 74 1º AQ,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
832,-8.62131500028375,41.1532056043567,160991665,6359,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 2º esq,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
833,-8.62131500028375,41.1532056043567,160991666,6373,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,3,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 2º  direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
834,-8.60671035209131,41.1492041403325,160991667,6374,BY Bolhão - Apartments,2014-07-29,2014-07-29,Apartamento,0,jmgreina@outlook.pt,Rua Alexandre Braga 76 2º Tras.  Fração E,4000-049,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.149207,-8.606596
838,-8.60561734763061,41.1600179085006,160991671,6391,Porto Suite,2014-09-01,2021-11-05,EstabelecimentoHospedagem,6,natconta@gmail.com,Rua Bonjardim 1109,4000-133,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.160038,-8.605644
839,-8.62131500028375,41.1532056043567,160991672,6392,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 4º frente,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
840,-8.62131500028375,41.1532056043567,160991673,6406,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 1º direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
841,-8.62131500028375,41.1532056043567,160991674,6409,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 2º direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
843,-8.62131500028375,41.1532056043567,160991676,6425,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 1º direito,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
